season,plays,off_epa_per_play,off_early_epa_per_play,off_success_rate_pct,def_epa_per_play,def_early_epa_per_play,def_success_rate_pct,proe_pct_points
2000,1529.0,-0.0061814445070922375,-0.09388066083192825,0.29103989535644215,-0.11782031506299973,-0.1423007845878601,0.2308259587020649,-5.6296916
2001,1354.0,0.01831432431936264,-0.040765080600976944,0.2865583456425406,0.05164554715156555,0.036406323313713074,0.2942061700526712,-1.7040193
2002,1525.0,0.028364652767777443,-0.0244267787784338,0.3324590163934426,-0.006947596091777086,-0.0023558721877634525,0.29339686861810754,-3.198585
2003,1492.0,0.04122186824679375,-0.012335398234426975,0.30563002680965146,-0.0418245755136013,-0.0886225774884224,0.2737430167597765,-1.5898347
2004,1396.0,0.0016264922451227903,0.022627942264080048,0.3001432664756447,0.08020064234733582,0.09242787212133408,0.31105990783410137,1.9961417
2005,1358.0,-0.06222155690193176,-0.05776507034897804,0.28865979381443296,0.038820214569568634,0.044685620814561844,0.30978260869565216,3.1685889
2006,1267.0,-0.041488900780677795,-0.09861662983894348,0.26519337016574585,0.025424303486943245,0.07339952886104584,0.32608695652173914,-4.754582
2007,1397.0,-0.04736503213644028,-0.05951748043298721,0.31710808876163205,-0.04793368652462959,-0.11657696962356567,0.2850909090909091,-5.348295
2008,1366.0,-0.004112024325877428,-0.02857350744307041,0.30453879941434847,-0.10590618848800659,-0.09296582639217377,0.2830188679245283,-1.9431025
2009,1286.0,0.020750852301716805,-0.052452877163887024,0.29704510108864696,0.059344612061977386,0.022932324558496475,0.3251088534107402,-4.587093
2010,1237.0,0.015628717839717865,-0.030036263167858124,0.2611156022635408,0.0034443617332726717,-0.021084195002913475,0.32142857142857145,0.11982024
2011,1305.0,-0.007635167334228754,-0.08462990820407867,0.2789272030651341,-0.013214314356446266,-0.0084525840356946,0.3089605734767025,1.5950143
2012,1307.0,-0.07489405572414398,-0.13029752671718597,0.27161438408569244,0.04654964804649353,0.062040116637945175,0.34739099356683345,0.25851727
2013,1358.0,0.010753042064607143,-0.04417929798364639,0.30559646539027985,0.030265819281339645,0.04519664868712425,0.31881918819188193,-7.778275
2014,1257.0,-0.10610286891460419,-0.06916455179452896,0.2752585521081941,0.05264612287282944,0.04660169035196304,0.3211781206171108,-3.2444954
2015,1299.0,-0.08745937794446945,-0.057527702301740646,0.2979214780600462,0.02035798691213131,0.01961004175245762,0.31897203325774753,-3.4493148
2016,1352.0,0.00455663725733757,-0.009714687243103981,0.32840236686390534,0.004217928275465965,0.04281724989414215,0.31513828238719066,-9.100956
2017,1470.0,-0.03960319608449936,-0.0816228911280632,0.2931972789115646,-0.00573778385296464,-0.005782019346952438,0.32316677482154443,-3.893444
2018,1250.0,-0.022490136325359344,-0.0278494693338871,0.3136,-0.021593641489744186,0.0025817432906478643,0.32167300380228137,-9.845159
2019,1515.0,0.0298471599817276,0.0833062082529068,0.31617161716171616,-0.03136112540960312,-0.02184903994202614,0.3317013463892289,-8.4238205
2020,1424.0,0.12117999792098999,0.15574270486831665,0.3637640449438202,0.08812110126018524,0.08728901296854019,0.36910457963089544,-12.07265
2021,1539.0,-0.00396961672231555,-0.0110902339220047,0.3190383365821962,-0.044790107756853104,-0.01926260069012642,0.3166894664842681,-8.459801
2022,1327.0,-0.06615863740444183,-0.05303404852747917,0.2946495855312736,-0.009191813878715038,0.01291993074119091,0.30721220527045767,-5.4998994
2023,1351.0,-0.031330812722444534,-0.024990135803818703,0.2768319763138416,0.03326244652271271,0.010622157715260983,0.32438162544169613,-5.9146585
2024,1384.0,-0.08962231129407883,-0.11174283176660538,0.29985549132947975,0.03776108846068382,-0.017973564565181732,0.32344213649851633,-9.304386
